Chr	Start	Gene	Region	Reference.Repeat.Length	Median.Repeat.Length	Minimum.Repeat.Length	Maximum.Repeat.Length	SD	Variance	Cohort.Polymorphism
1	10057405	RBP7	intronic	4	5	5	5	0	0	0
1	100818219	CDC14A	UTR5	4	5	5	5	0	0	0
1	101005242	GPR88	exonic	6	7	7	35	1.03377597469523	1.06869276585707	0.00458715596330275
1	10699085	CASZ1	exonic	6	7	7	38	2.70109201933198	7.29589809689893	0.0238532110091743
1	10699273	CASZ1	exonic	6	7	2	43	3.04993708814611	9.30211624164919	0.0311926605504587
1	10717312	CASZ1	intronic	5	6	6	23	0.666748169001397	0.444553120866716	0.0018348623853211
1	10754642	CASZ1	intronic	12	13	1	53	3.50281849478894	12.2697374074355	0.491743119266055
1	107683860	NTNG1	intronic	5	5	5	13	0.288300614234725	0.0831172441681199	0.0119266055045872
1	108507542	VAV3-AS1	ncRNA	6	6	5	34	1.24962180781047	1.5615546625555	0.253211009174312
1	109102727	FAM102B	upstream	13	14	7	39	1.60923464559977	2.58963614459861	0.0990825688073395
1	109102886	FAM102B	upstream	4	6	3	31	1.09110831282563	1.19051735031718	0.00458715596330275
1	109235299	PRPF38B	exonic	4	5	5	16	0.45903996080236	0.210717685613432	0.00275229357798165
1	109643286	SCARNA2	downstream	3	4	4	14	0.302891266407691	0.0917431192660551	0.000917431192660551
1	109792657	CELSR2	UTR5	4	5	5	32	0.8882159882155	0.788927641721637	0.0036697247706422
1	109792736	CELSR2	exonic	4	6	5	22	0.762032484357202	0.580693507215609	0.299082568807339
1	109940387	SORT1	exonic	4	5	5	5	0	0	0
1	110026536	ATXN7L2	UTR5	3	13	4	39	7.30370505040354	53.3441074632901	0.856880733944954
1	110753529	KCNC4	UTR5	4	5	5	37	1.23202452585698	1.51788443231312	0.0055045871559633
1	111217187	KCNA3	exonic	3	4	4	37	1.78951570268502	3.20236645015627	0.0275229357798165
1	111217391	KCNA3	exonic	4	5	5	12	0.339550779916797	0.115294732142105	0.0036697247706422
1	111757686	DENND2D->CHI3L2	intergenic	3	4	4	4	0	0	0
1	112162408	RAP1A	UTR5	3	4	3	4	0.108605629938778	0.0117951828543989	0.0119266055045872
1	112298905	DDX20	intronic	3	4	4	17	0.576648711183904	0.332523736110058	0.00275229357798165
1	112532347	KCND3->LINC01750	upstream	22	23	15	41	1.53068490158286	2.34299626793372	0.511009174311927
